,by,descendants,id,kids,score,text,time,title,type,url
84,Kye,13.0,40434108,"[40434980, 40436700, 40439722, 40434305, 40438900, 40435891]",32,,1716326419,ActivityPub might be a transitional technology,story,https://kyefox.com/activitypub-might-be-a-transitional-technology/
85,kickout,2.0,40432498,"[40441174, 40437059]",34,,1716318387,Korean Airlines Flight 007,story,https://admiralcloudberg.medium.com/a-shot-in-the-dark-the-untold-story-of-korean-air-lines-flight-007-a4ae6a4ef734
86,geox,17.0,40434049,"[40434670, 40434867, 40434588, 40436587]",32,,1716326131,"Dyson Sphere Candidates from Gaia DR3, 2MASS, and Wise",story,https://academic.oup.com/mnras/article/531/1/695/7665761
87,kaycebasques,23.0,40437435,"[40437968, 40437810, 40437803, 40437948, 40437771, 40437751, 40437983]",63,,1716353251,Unprecedented flooding in Brazil leaves hundreds of thousands displaced,story,https://www.msf.org/unprecedented-flooding-brazil-leaves-millions-affected-and-hundreds-thousands-displaced
88,hassanahmad,5.0,40436533,"[40439265, 40438127, 40439321, 40437686, 40438252]",21,,1716342512,UK watchdog looking into Microsoft AI taking screenshots,story,https://www.bbc.com/news/articles/cpwwqp6nx14o
89,ohpissoff,10.0,40432870,"[40437328, 40437130, 40437616, 40437109, 40437116, 40437287]",23,,1716320352,Strategic Altruism,story,https://www.conspicuouscognition.com/p/strategic-altruism-the-machiavellian
90,apollolabsbin,4.0,40432723,"[40434193, 40434176]",43,,1716319639,Simplified Embedded Rust: ESP Standard Library Edition,story,https://www.theembeddedrustacean.com/c/ser-std
91,gladuz,49.0,40411274,"[40427709, 40419205, 40419147, 40413306, 40413700, 40420566, 40412748, 40418516, 40420497, 40422762]",137,,1716169380,"What ""Follow Your Dreams"" Misses [video]",story,https://www.youtube.com/watch?v=W3I3kAg2J7w
92,Brajeshwar,43.0,40427851,"[40429607, 40430870, 40430748, 40430909, 40432765, 40430813, 40430532, 40431548, 40430378, 40432328, 40432416, 40431142, 40438557, 40431298, 40430007]",98,,1716296100,Rare things become common at scale (2014),story,https://longform.asmartbear.com/scale-rare/
93,WithinReason,0.0,40438338,,7,,1716363720,Non-invasive zaps to the spinal cord can treat paralysis,story,https://arstechnica.com/science/2024/05/non-invasive-zaps-to-the-spinal-cord-can-treat-paralysis-but-no-one-knows-why/
94,helsinkiandrew,37.0,40426894,"[40439196, 40429793, 40428873, 40429187, 40429408, 40429044]",109,,1716290520,The Engineering of Duct Tape [video],story,https://www.youtube.com/watch?v=E-F2QQuZZGk
95,herbertl,152.0,40439558,"[40440420, 40440291, 40440465, 40440340, 40440582, 40440293, 40440290, 40440284, 40440503, 40440710, 40440565, 40440491, 40440501, 40440297, 40440574, 40440754, 40440562, 40440519, 40440456, 40440271, 40440304, 40440409, 40440497, 40440451, 40440313, 40440575, 40440397, 40440320, 40440317, 40440277]",86,,1716376004,"Are commercial ""third places"" a dying breed?",story,https://spacing.ca/toronto/2024/04/26/are-commercial-third-places-a-dying-breed/
96,doener,0.0,40440675,[40440868],14,,1716384345,"85% of Neuralink implant wires are already detached, says patient",story,https://www.popsci.com/health/neuralink-wire-detachment/
97,rbanffy,165.0,40434766,"[40435239, 40434910, 40435252, 40434949, 40435475, 40435508, 40435374, 40435176, 40434972, 40435713, 40435180, 40435578, 40435216, 40435615, 40435516, 40438047, 40435049, 40436143, 40436770, 40435855, 40435587, 40438373, 40435532, 40436321, 40436805, 40436271, 40436893, 40436866, 40435209, 40435473, 40435902, 40435512, 40435129, 40436763, 40435442, 40435392, 40434954, 40435289]",155,,1716330095,Clever code is probably the worst code you could write (2023),story,https://read.engineerscodex.com/p/clever-code-is-probably-the-worst
98,zaik,228.0,40419856,"[40421113, 40421392, 40421311, 40423911, 40424067, 40420860, 40421971, 40422695, 40425256, 40423728, 40422949, 40427342, 40421377, 40423026, 40423015, 40422104, 40421847, 40431042, 40427466, 40425489, 40423625, 40420491, 40424922, 40423912, 40433090, 40423189, 40423005, 40424651, 40428272, 40429525, 40421532, 40423223, 40422477, 40425193, 40422305, 40421695, 40421899, 40425930, 40425720, 40421887, 40423078, 40426154, 40424080, 40422875, 40422773, 40417448, 40428018, 40421608, 40425262, 40420977, 40423122, 40425778, 40425168, 40421944, 40424652, 40423266]",424,,1716236582,Enlightenmentware,story,https://mmapped.blog/posts/28-enlightenmentware.html
99,TangerineDream,42.0,40430381,"[40430932, 40431212, 40431260, 40432517, 40430727, 40431326, 40430631]",91,,1716308046,Backblaze Scales Storage Cloud,story,https://www.backblaze.com/blog/how-backblaze-scales-our-storage-cloud/
